med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-586,Condition1,n1,n1__Condition1,19.0957283820518,1,184.806,1211.744,20.444,1278.557,595.792219607843,yes
Condition1-n1,n1__Condition1-588,Condition1,n1,n1__Condition1,20.4803763869513,0.976,165.913,1597.446,1469.368,1283.101,595.792219607843,yes
Condition1-n1,n1__Condition1-59,Condition1,n1,n1__Condition1,19.6021594109702,0.991,157.949,1934.101,2018.433,115.524,595.792219607843,yes
Condition1-n1,n1__Condition1-591,Condition1,n1,n1__Condition1,22.7161850275062,0.994,158.924,1708.296,672.054,1293.16,595.792219607843,yes
Condition1-n1,n1__Condition1-595,Condition1,n1,n1__Condition1,21.6555764867418,0.994,171.788,1529.411,1537.838,1304.518,595.792219607843,yes
Condition1-n1,n1__Condition1-610,Condition1,n1,n1__Condition1,17.0894211694354,0.953,184.881,1389.977,1992.148,1327.233,595.792219607843,yes
Condition1-n1,n1__Condition1-611,Condition1,n1,n1__Condition1,15.3129336946436,1,182.172,2343.442,889.798,1326.909,595.792219607843,yes
Condition1-n1,n1__Condition1-615,Condition1,n1,n1__Condition1,18.2646212692259,1.002,267.539,1196.157,455.932,1335.995,595.792219607843,yes
Condition1-n1,n1__Condition1-618,Condition1,n1,n1__Condition1,17.7107620672661,0.995,145.833,1208.723,835.281,1339.565,595.792219607843,yes
Condition1-n1,n1__Condition1-62,Condition1,n1,n1__Condition1,19.6495875840116,1.011,211.826,1167.433,583.788,120.717,595.792219607843,yes
Condition1-n1,n1__Condition1-620,Condition1,n1,n1__Condition1,16.5829901405169,0.973,169.092,1193.9,10.871,1342.323,595.792219607843,yes
Condition1-n1,n1__Condition1-621,Condition1,n1,n1__Condition1,16.1914689805109,0.99,154.442,665.835,2554.843,1346.704,595.792219607843,yes
Condition1-n1,n1__Condition1-623,Condition1,n1,n1__Condition1,16.9748296104092,0.983,176.92,2004.383,2519.959,1348.489,595.792219607843,yes
Condition1-n1,n1__Condition1-626,Condition1,n1,n1__Condition1,19.9265171849915,1.002,160.309,1337.646,84.696,1356.115,595.792219607843,yes
Condition1-n1,n1__Condition1-636,Condition1,n1,n1__Condition1,27.2823403448127,1.012,176.091,1596.216,1270.12,1372.664,595.792219607843,yes
Condition1-n1,n1__Condition1-64,Condition1,n1,n1__Condition1,21.4935567546743,0.987,143.635,1236.656,640.252,123.313,595.792219607843,yes
Condition1-n1,n1__Condition1-642,Condition1,n1,n1__Condition1,20.5281228698788,0.986,178.079,2460.705,1244.322,1381.264,595.792219607843,yes
Condition1-n1,n1__Condition1-646,Condition1,n1,n1__Condition1,17.8056184133489,1.013,260.96,1850.569,1576.13,1393.757,595.792219607843,yes
