med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n3,n3__Condition1-826,Condition1,n3,n3__Condition1,25.7153007751299,0.995,565.052,240.461,2208.27,1776.676,598.105352941177,no
Condition1-n3,n3__Condition1-827,Condition1,n3,n3__Condition1,20.15601861293,0.993,148.322,2207.485,1807.179,1775.378,598.105352941177,yes
Condition1-n3,n3__Condition1-828,Condition1,n3,n3__Condition1,19.6495875840116,0.989,265.765,237.312,1093.783,1776.741,598.105352941177,no
Condition1-n3,n3__Condition1-829,Condition1,n3,n3__Condition1,24.2157429013181,0.894,308.184,296.835,2348.587,1779.207,598.105352941177,no
Condition1-n3,n3__Condition1-83,Condition1,n3,n3__Condition1,17.1565845554201,1.008,847.524,256.432,1433.996,160.631,598.105352941177,no
Condition1-n3,n3__Condition1-830,Condition1,n3,n3__Condition1,17.987691668246,0.993,194.947,1272.601,607.153,1782.192,598.105352941177,yes
Condition1-n3,n3__Condition1-831,Condition1,n3,n3__Condition1,18.4072240982362,0.956,541.613,2213.126,442.928,1784.061,598.105352941177,yes
Condition1-n3,n3__Condition1-832,Condition1,n3,n3__Condition1,13.3543729649548,0.941,273.61,258.367,1856.529,1782.716,598.105352941177,no
Condition1-n3,n3__Condition1-833,Condition1,n3,n3__Condition1,16.2586323664957,1.016,334.858,237.301,39.752,1783.003,598.105352941177,no
Condition1-n3,n3__Condition1-834,Condition1,n3,n3__Condition1,30.2814560924364,0.984,210.581,1894.86,2382.53,1792.576,598.105352941177,yes
Condition1-n3,n3__Condition1-835,Condition1,n3,n3__Condition1,15.5898632956235,0.991,158.514,249.013,1127.337,1788.033,598.105352941177,no
Condition1-n3,n3__Condition1-836,Condition1,n3,n3__Condition1,15.0360040936637,0.992,516.658,250.38,246.95,1792.252,598.105352941177,no
Condition1-n3,n3__Condition1-837,Condition1,n3,n3__Condition1,13.3066264820272,1.012,224.228,2949.189,2089.176,1794.199,598.105352941177,yes
